Text,entities,entity_types,Combined
"MHz MT6983 ( Dimensity 9000 ) Mali-G710 MP10 @ 850 MHz NetLogic Au1380 , Au1350 Mali-200 Nufront NS2816 , NS2816M Mali-400 MP NS115 , TL7688 , TL7689 Mali-400 MP2 RealtekRTD1294 , RTD1295 , RTD1296Mali-T820 MP3RTD1395Mali-470 Rockchip RK2818 Mali-200 RK2926 , RK2628 , RK3036 , RK3229 Mali-400 MP @ 400/400/500/600 MHz RK3026 , RK3126 , RK3128 Mali-400 MP2 @ 500/600/600 MHz RK3066 , RK3188 , RK3188T Mali-400 MP4 @ 266/533/ ~ 400 MHzhttp://sg.finance.yahoo.com/news/28nm -quad-core-era-rk3188-144500035.html RK3288 Mali-T760 MP4 @ 600 MHzRK3326Mali-G31 MP2 RK3328 Mali-450 MP2 RK3399 Mali-T860 MP4 @ 600 MHzRK3530 , RK3566 , RK3568Mali-G52RK3588Mali-G610 MP4 Samsung Exynos 3 Quad ( 3470 ) , Exynos 4 Dual , Quad ( 4210 , 4212 and 4412 ) Mali-400 MP4 ARM Powered Smartphone Sets New Graphics Benchmark on ARM blog Exynos 5 Dual ( 5250 ) Mali-T604 MP4 Exynos 5 Hexa ( 5260 ) Mali-T624 MP3 Exynos 5 Octa ( 5420 , 5422 , 5430 and 5800 ) Mali-T628 MP6Exynos 5 Hexa ( 7872 ) Mali-G71 MP1 @ 1.2 GHz Exynos 7 Octa ( 5433/7410 ) Mali-T760 MP6 Exynos 7 Octa ( 7420 ) Mali-T760 MP8 @ 772 MHz Exynos 7 Quad ( 7570 ) , Exynos 3 Quad ( 3475 ) Mali-T720 MP1 Exynos 7 Octa ( 7580 ) Mali-T720 MP2 Exynos 7 Octa ( 7870 ) Mali-T830 MP1 Exynos 7 Octa ( 7880 ) Mali-T830 MP3 Exynos 7 Series 7885Mali-G71 MP2 @ 1300 MHzExynos 850Mali-G52 MP1Exynos 8 Octa 880Mali-G76 MP5 @ ?",['RK3288'],['Device'],"['[', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'Q', 'u', 'a', 'd', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'"", 'E', 'x', 'y', 'n', 'o', 's', ' ', '7', ' ', 'O', 'c', 't', 'a', ""'"", ',', ' ', ""'""]"
"In 1995 , a remake developed by Attention to Detail , was released as one of the pack-in games for the Atari Jaguar CD peripheral when it launched and received mixed reviews .",['Atari Jaguar CD'],['Device'],"['Atari Jaguar CD', 'Atari Jaguar CD']"
"FileMaker Pro , the desktop app , evolved from a DOS application , originally called simply FileMaker , but was then developed primarily for the Apple Macintosh and released in April 1985 .","['desktop', 'DOS', 'Apple Macintosh']","['Device', 'Device', 'Device']","['Apple Macintosh', 'DOS', 'Apple Macintosh']"
"Famitsus writers expressed disappointment over how the PSP version 's graphics and screen size had not been changed in comparison to the Sega Saturn version , and of how few adjustments had been made .",['Sega Saturn'],['Device'],"['PSP', 'Sega Saturn']"
"Datacube Inc . was an image processing company selling hardware and software applications for the PC market in 1996 , however without addressing data cubes as such .",['PC market'],['Device'],"['PC', 'PC']"
The VAX 's packed BCD format is compatible with that on IBM System/360 and IBM 's later compatible processors .,['VAX'],['Device'],"['VAX', 'VAX']"
Everything or Nothing is designed to resemble a Bond film .,['Everything or Nothing'],['Device'],"['Everything or Nothing', 'Everything or Nothing']"
"Key to CHRP was the requirement for Open Firmware ( also required in PReP-compliant systems delivered after June 1 , 1995 ) , which gave vendors greatly improved support during the boot process , allowing the hardware to be far more varied .",['CHRP'],['Device'],"['CHRP', 'CHRP']"
"In 1982 , the first version of QUNIX was released for the Intel 8088 CPU .",['Intel 8088'],['Device'],"['QUNIX', 'Intel 8088']"
All Intel processors starting with the P5 microarchitecture ( P54C ) have a built-in local APIC .,['local APIC'],['Device'],"['P5 microarchitecture', 'P54C', 'P']"
Rendered obsolete with them was the CP/M -inherited concept of OEM versions of MS-DOS meant to run ( through BIOS calls ) on non IBM-PC hardware .,['IBM-PC'],['Device'],"['IBM-PC', 'BS', 'IBM PC']"
"IBM manufactured magnetic disk storage devices from 1956 to 2003 , when it sold its hard disk drive business to Hitachi .","['disk storage', 'hard disk drive']","['Device', 'Device']","['hard disk drive', 'disk storage', 'hard disk drive']"
"Using 1590/1610nm for the return path allows the fiber infrastructure to support both RFoG and a standards-based PON simultaneously , operating with 1490nm downstream and 1310nm return-path wavelengths .",['RFoG'],['Device'],"['1590/1610nm', 'RFoG']"
"It also featured a CP/M mode , and Forth mode or LOGO mode , with the Forth or LOGO operating environment residing in an on-board ROM chip .","['LOGO', 'LOGO', 'ROM chip']","['Device', 'Device', 'Device']","['ROM chip', 'LOGO', 'LOGO', 'ROM chip']"
"Concurrent DOS 386 allowed a single server to support a number of users on dumb terminals or inexpensive low-specification PCs running terminal emulation software , without the need for expensive workstations and then-expensive network cards .",['DOS'],['Device'],"['workstations', 'DOS', 'DOS']"
The name is the result of co-branding between the Samsung Galaxy and Google Nexus brands of Android smartphones .,['Google Nexus'],['Device'],"['Samsung Galaxy', 'Google Nexus', 'Google Nexus']"
An optional 360/20 emulator was available .,['360/20'],['Device'],"['360/20', '360 / 20']"
"IBM 's initial answer was OfficeVision/2 , which was released along side it 's new generation of computers including PS/2 , AS/400 and ES/390 , which was a server-requestor system designed to be the strategic implementation of IBM 's Systems Application Architecture .","['PS/2', 'AS/400', 'Systems Application Architecture']","['Device', 'Device', 'Device']","['PS/2', 'PS / 2', 'AS / 400', 'ES / 390', 'Systems Application Architecture']"
"Virtual Boy Wario Land garnered mostly positive reviews upon release , with most critiques aimed at the Virtual Boy hardware itself .",['Virtual Boy'],['Device'],"['Virtual Boy', 'Virtual Boy']"
"It was widely used in a new generation of personal computers with graphical user interfaces , including the Macintosh 128K , Amiga , Atari ST , and X68000 .","['personal computers', 'Macintosh 128K', 'Amiga', 'Atari ST', 'X68000']","['Device', 'Device', 'Device', 'Device', 'Device']","['personal computers', 'Macintosh 128K', 'Amiga', 'personal computers', 'Macintosh 128K', 'Amiga', 'Atari ST', 'X68000']"
Six clones based on the Rabbit 286 chassis were reviewed in the magazine 's March 1990 issue .,['Rabbit 286'],['Device'],"['Rabbit 286', 'Rabbit 286']"
Today it is particularly common to have one workstation with two monitors connected where the second monitor is referred to as the second display .,['monitors'],['Device'],"['workstation', 'monitors', 'display', 'workstation']"
The TI-1031 was a 4 function calculator manufactured by Texas Instruments .,['TI-1031'],['Device'],"['TI-1031', 'TI - 1031']"
The uptime command is also available for FreeDOS .,['uptime'],['Device'],"['uptime', 'uptime']"
"The entire Workbench operating system consisted of three floppy disks : Kickstart , Workbench and ABasic by MetaComCo .",['MetaComCo'],['Device'],"['floppy disks', 'floppy disks', 'Kickstar', 'MetaComCo']"
"But they ’re going to be used by like one out of x people - while predicting that the vast majority of people will eventually use tablets as a primary computing device , analogous to the majority of people who drive cars .",['tablets'],['Device'],"['tablets', 'tablets']"
"Memory addresses are 32bits ( optionally 64 bits ) in size , support caching and can be burst transactions .",['64 bits'],['Device'],"['64 bits', '64 bits']"
"It was recreated as a DSiWare game that was released on July 29 , 2009 in Japan , on March 22 , 2010 in the United States , and March 26 , 2010 in Europe ; and for Nintendo 3DS on July 7 , 2011 in Europe .",['DSiWare'],['Device'],"['DSiWare', 'DSi']"
"QHD ( Quad HD ) , WQHD ( Wide Quad HD ) , or 1440p , is a display resolution of pixels in a 16:9 aspect ratio .",['aspect ratio'],['Device'],"['WQHD', 'Quad HD', 'Wide Quad HD', 'aspect ratio']"
The drive also directly attaches to the IBM System/360 Model 20 and the IBM System/360 Model 25 .,"['IBM System/360 Model 20', 'IBM System/360 Model 25']","['Device', 'Device']","['IBM System/360 Model 20', 'IBM System/360 Model 25', 'IBM System / 360 Model 20', 'IBM System / 360 Model 25']"
