Text,entities,entity_types,UniNER
"Because the function of a payload is not limited to merely spawning a shell , some have suggested that the name shellcode is insufficient .",['shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In a controlled testing environment , the cybersecurity firm Kryptos Logic found that it was unable to infect a Windows XP system with WannaCry using just the exploits , as the payload failed to load , or caused the operating system to crash rather than actually execute and encrypt files .",['WannaCry'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Some users install a large hosts file which prevents the user 's computer from connecting to known spyware-related web addresses .,[],[],"defaultdict(<class 'list'>, {})"
"While browsers like Chrome , Firefox , and Tor Browser ( based on Firefox ) have placed restrictions on the resolution of timers ( required in Spectre exploit to determine if cache hit/miss ) , at the time of authoring the white paper , the Spectre author was able to create a high-precision timer using the web worker feature of HTML5 .","['Spectre exploit', 'Spectre']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A race condition or race hazard is the condition of an electronics , software , or other system where the system 's substantive behavior is dependent on the sequence or timing of other uncontrollable events .","['race condition', 'race hazard']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The research on network covert channels overlaps with the domain of network steganography , which emerged later .",['covert channels'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The threat model for a DOM clobbering attack is similar to that of the web attacker model proposed by Akhawe et al .,['DOM clobbering'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"According to one expert , ""[Foreshadow] lets malicious software break into secure areas that even the Spectre and Meltdown flaws could n't crack "" .",[],[],"defaultdict(<class 'list'>, {})"
Shellcode cannot be executed directly .,['Shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"There is no single , standardized classification of cross-site scripting flaws , but most experts distinguish between at least two primary flavors of XSS flaws : non-persistent and persistent .","['cross-site scripting', 'XSS']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"On August 17 , 2009 , the United States Department of Justice charged an American citizen , Albert Gonzalez , and two unnamed Russians with the theft of 130 million credit card numbers using an SQL injection attack .",['SQL injection attack'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In September 2023 , Junade Ali shared that he and Frances Liu had successfully been able to mitigate prompt injection attacks ( including on attack vectors the models had not been exposed to before ) through giving Large Language Models the ability to engage in metacognition ( similar to having an inner monologue ) and that they held a provisional United States patent for the technology - however , they decided to not enforce their intellectual property rights and not pursue this as a business venture as market conditions were not yet right ( citing reasons including high GPU costs and a currently limited number of safety-critical use-cases for LLMs ) .",['prompt injection attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"When an executable wishes to interact with the dynamic linker , it simply executes the machine-specific call or jump instruction to one of those well-known address points .",['dynamic linker'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
However this system expanded the character repertoire from a few dozen characters in a single alphabet to many thousands of characters in many scripts ; this greatly increased the scope for homograph attacks .,['homograph attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Pharming is only one of many attacks that malicious firmware can mount ; others include eavesdropping , active man in the middle attacks , and traffic logging .",['Pharming'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Meltdown is one of the two original transient execution CPU vulnerabilities ( the other being Spectre ) .,['Meltdown'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Unlike the related Meltdown vulnerability disclosed at the same time , Spectre does not rely on a specific feature of a single processor 's memory management and protection system , but is instead a more generalized idea .",['Spectre'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Some approaches that are used to detect and isolate managed and unmanaged code injections are :,['code injections'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"There are several implementations of buffer overflow protection , including those for the GNU Compiler Collection , LLVM , Microsoft Visual Studio , and other compilers .",['buffer overflow protection'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The smudge attack approach could also be applied to other touchscreen devices besides mobile phones that require an unlocking procedure , such as automatic teller machines ( ATMs ) , home locking devices , and PIN entry systems in convenience stores .",['smudge attack'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A vulnerable system will echo the text "" CVE-2014-7186 vulnerable , redir_stack "" .",['CVE-2014-7186'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In 2010 , researchers revealed that multiple high-profile websites had used history sniffing to identify and track users .",['history sniffing'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Stalkerware is spyware that has been used to monitor electronic activities of partners in intimate relationships .,['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"On 2 March 2019 , Microsoft is reported to have released an important Windows 10 ( v1809 ) software mitigation to the Spectre v2 CPU vulnerability .",['Spectre'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The PrivateCore implementation works in concert with Intel TXT and locks down server system interfaces to avoid potential bootkits and rootkits .,['rootkits'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
BREACH exploits the compression in the underlying HTTP protocol .,['BREACH'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In digital computing , hardware security bugs are hardware bugs or flaws that create vulnerabilities affecting computer central processing units ( CPUs ) , or other devices which incorporate programmable processors or logic and have direct memory access , which allow data to be read by a rogue process when such reading is not authorized .",['hardware security bugs'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"On 18 January 2018 , unwanted reboots , even for newer Intel chips , due to Meltdown and Spectre patches , were reported .",['Spectre'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"SROP exploits are usually portable across different binaries with minimal or no effort and allow easily setting the contents of the registers , which could be non-trivial or unfeasible for ROP exploits if the needed gadgets are not present .",['SROP'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Code injection may be used with good intentions ; for example , changing or tweaking the behavior of a program or system through code injection can cause the system to behave in a certain way without any malicious intent .","['Code injection', 'code injection']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Retrogaming hobbyists have managed to find vulnerabilities in classic video games that allow them to execute arbitrary code , usually using a precise sequence of button inputs in a tool-assisted superplay to cause a buffer overflow , allowing them to write to protected memory .",['arbitrary code'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Apache gave Log4Shell a CVSS severity rating of 10 , the highest available score .",['Log4Shell'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The JavaScript implementation , called Rowhammer.js , uses large typed arrays and relies on their internal allocation using large pages ; as a result , it demonstrates a very high-level exploit of a very low-level vulnerability .",[],[],"defaultdict(<class 'list'>, {})"
Mutated XSS happens when the attacker injects something that is seemingly safe but is rewritten and modified by the browser while parsing the markup .,['XSS'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Spyware can also interfere with a user 's control of a computer by installing additional software or redirecting web browsers .,['Spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"Local shellcode is used by an attacker who has limited access to a machine but can exploit a vulnerability , for example a buffer overflow , in a higher-privileged process on that machine .",['shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In more recent years , cyber attacks have demonstrated increased ability to impact physical systems , such as Stuxnet , Triton or Trisis malware , and have caused ransomware attacks such as WannaCry and Netwalker By recognizing computer system threats occur from potential physical hazards , the term "" blended threat "" has also been defined as a natural , accidental , or purposeful physical or virtual danger that has the potential for crossover impacts or to harm life , information , operations , environment , and property .",['blended threat'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"However , a non-Windows system could become vulnerable if it runs software to view Windows WMF files .",['WMF'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Smudge attacks are particularly successful when performed on devices that offer personal identification numbers ( PINs ) , text-based passwords , and pattern-based passwords as locking options .",['Smudge attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Researchers have classified downgrade attacks with respect to four different vectors , which represents a framework to reason about downgrade attacks as follows :","['downgrade attacks', 'downgrade attacks']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The weird machine consists of this unintended functionality that can be programmed with selected inputs in an exploit .,['weird machine'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
SWAPGS itself is an instruction to swap the GSBase register with a value stored in MSR .,['SWAPGS'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"claimed that "" our return indirection technique essentially de-generalizes return-oriented programming back to the old style of return-into-libc. """,['return-oriented programming'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In certain circumstances , a target process will filter any byte from the injected shellcode that is not a printable or alphanumeric character .",['shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"For instance , a number of the spyware programs distributed by Claria are collectively known as "" Gator "" .",['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"Viewing a website in a web browser that automatically opens WMF files , in which case any potential malicious code may be automatically downloaded and opened .",['WMF'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In computer security , a weird machine is a computational artifact where additional code execution can happen outside the original specification of the program .",['weird machine'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Usually , it is not logically possible or plausible to read the canary for exploiting ; the canary is a secure value known only by those who need to know itthe buffer overflow protection code in this case .",['buffer overflow protection'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The Twilight hack accomplished the same with the Wii , using a buffer overflow in The Legend of Zelda : Twilight Princess .",['buffer overflow'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A very effective mitigation is HTB ( Heal-the-BREACH ) that adds random-sized padding to compressed data , providing some in the size of the output contents .",[],[],"defaultdict(<class 'list'>, {})"
"User-mode rootkits run in Ring 3 , along with other applications as user , rather than low-level system processes .",['rootkits'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Cookiejacking is an attack against Internet Explorer which allows the attacker to steal session cookies of a user by tricking a user into dragging an object across the screen .,['Cookiejacking'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The existence of these mappings makes transitioning to and from the kernel faster , but is unsafe in the presence of the Meltdown vulnerability , as the contents of all physical memory ( which may contain sensitive information such as passwords belonging to other processes or the kernel ) can then be obtained via the above method by any unprivileged process from user-space .",['Meltdown vulnerability'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Most rely on randomizing the location of program and library code , so that an attacker cannot accurately predict the location of instructions that might be useful in gadgets and therefore cannot mount a successful return-oriented programming attack chain .",['return-oriented programming'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"While a NOP slide will function if it consists of a list of canonical NOP instructions , the presence of such code is suspicious and easy to automatically detect .",['NOP slide'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In hyperjacking , the hypervisor specifically operates in stealth mode and runs beneath the machine , making it more difficult to detect and more likely to gain access to computer servers where it can affect the operation of the entire institution or company .",['hyperjacking'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Likewise , programs that are frequently installed together may be described as parts of the same spyware package , even if they function separately .",['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"Heap sprays have been used occasionally in exploits since at least 2001 , but the technique started to see widespread use in exploits for web browsers in the summer of 2005 after the release of several such exploits which used the technique against a wide range of bugs in Internet Explorer .",['Heap sprays'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"While this does not prevent DOM clobbering from altering the execution of already present code , using restrictive content security policies can make it much harder for attackers to elevate a DOM clobbering risk into a arbitrary code execution attack by limiting how scripts can be executed on a website .","['DOM clobbering', 'DOM clobbering']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
There are four main sub-classes of SQL injection :,['SQL injection'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"On November 8 , 2010 the British Royal Navy website was compromised by a Romanian hacker named TinKode using SQL injection .",['SQL injection'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The thief will create a website very similar in appearance to that of a popular site , then when a user accesses the spoofed URL , they can inadvertently give the thief their credit card and personal details .",['spoofed URL'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Early on , anti-virus firms expressed reluctance to add anti-spyware functions , citing lawsuits brought by spyware authors against the authors of web sites and programs which described their products as "" spyware "" .","['spyware', 'spyware']","['CWE_Other', 'CWE_Other']","defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"In computer security and programming , a buffer over-read is an anomaly where a program , while reading data from a buffer , overruns the buffer 's boundary and reads ( or tries to read ) adjacent memory .",['buffer over-read'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The attack has been given the CVE ID CVE-2023-48795 .,['CVE-2023-48795'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"As port 139 is a privileged port and requires administrator access for use , SMBRelay must run as an administrator access account .",['SMBRelay'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Research shows that AKO is in fact effective against privilege escalation attacks .,['privilege escalation'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In response to the emergence of spyware , a small industry has sprung up dealing in anti-spyware software .",['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"In a classic relay attack , communication with both parties is initiated by the attacker who then merely relays messages between the two parties without manipulating them or even necessarily reading them .",['relay attack'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Checking for buffer overflows and patching the bugs that cause them helps prevent buffer overflows .,"['buffer overflows', 'buffer overflows']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Since the emergence of prompt injection attacks , a variety of mitigating countermeasures have been used to reduce the susceptibility of newer systems .",['prompt injection attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Smudge attacks can be performed on various smart device locking methods such as Android Patterns , PINs , and text-based passwords .",['Smudge attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Web site owners can protect their users against UI redressing ( frame based clickjacking ) on the server side by including a framekiller JavaScript snippet in those pages they do not want to be included inside frames from different sources .,['clickjacking'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"To further counter form grabbing , users ' privileges can become limited which would prevent them from installing Browser Helper Objects ( BHOs ) and other form grabbing software .","['form grabbing', 'form grabbing']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Since then , cross-site leaks have become increasingly sophisticated , with researchers finding newer cross-site leaks with varying efficacy levels , targeting various web browser components .","['cross-site leaks', 'cross-site leaks']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"As a result , the pathname of the dynamic linker is part of the operating system 's application binary interface .",['dynamic linker'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In the BROP model of attack , the buffer overrun is carried byte by byte .",['BROP'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A null session is an anonymous connection to an inter-process communication network service on Windows-based computers .,['null session'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Due to their versatility and ability to leak a wide range of information , they are considered a classic cross-site leak vector .",['cross-site leak'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A null character can be placed in a URL with the percent code %00 .,['null character'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Session poisoning was first discussed as a ( potentially new ) vulnerability class in the Full disclosure mailing list .,['Session poisoning'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Security researcher Steve Gibson said of Heartbleed that :,['Heartbleed'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The attacker calls the Pacman gadget many times with condition = true .,['Pacman'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A NOP-sled is the oldest and most widely known technique for exploiting stack buffer overflows .,['buffer overflows'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In July 2015 , Evgeny Legerov , a Moscow-based security researcher , announced that he had found at least two similar heap overflow zero-day vulnerabilities in the Stagefright library , claiming at the same time that the library has been already exploited for a while .",['Stagefright'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A rootkit is a collection of computer software , typically malicious , designed to enable access to a computer or an area of its software that is not otherwise allowed ( for example , to an unauthorized user ) and often masks its existence or the existence of other software .",['rootkit'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"An evil maid attack is an attack on an unattended device , in which an attacker with physical access alters it in some undetectable way so that they can later access the device , or the data on it .",['evil maid attack'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
DNS rebinding is a method of manipulating resolution of domain names that is commonly used as a form of computer attack .,['DNS rebinding'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"The evil twin can be configured to pass Internet traffic through to the legitimate access point while monitoring the victim 's connection , or it can simply say the system is temporarily unavailable after obtaining a username and password .",['evil twin'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In UK railway signalling , a race condition would arise in the carrying out of Rule 55 .",['race condition'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A variation of this type of shellcode downloads and loads a library .,['shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A purely software workaround to Meltdown has been assessed as slowing computers between 5 and 30 percent in certain specialized workloads , although companies responsible for software correction of the exploit reported minimal impact from general benchmark testing .",['Meltdown'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[""Meltdown""]']})"
"Qualys SSL Labs ' SSL Server Test which not only looks for the Heartbleed bug , but can also find other SSL/TLS implementation errors .",['Heartbleed bug'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[""Heartbleed bug""]']})"
"In the case that you do receive a suspected spoofed URL , forward the entire email to spoof@PayPal.com to help prevent the URL from tricking other PayPal users .",['spoofed URL'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"A DNS leak is a security flaw that allows DNS requests to be revealed to ISP DNS servers , despite the use of a VPN service to attempt to conceal them .",['DNS leak'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In 2013 , SQLI was rated the number one attack on the OWASP top ten .",['SQLI'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"those that do not support forward secrecy or authenticated encryption ) such as the POODLE , ClientHello fragmentation , and a variant of the DROWN ( aka "" the special drown "" ) downgrade attacks .",['downgrade attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
These common spyware programs illustrate the diversity of behaviors found in these attacks .,['spyware'],['CWE_Other'],"defaultdict(<class 'list'>, {'CWE_Other': ['[]']})"
"In October 2018 , reports emerged that the KRACK vulnerability was still exploitable in spite of vendor patches , through a variety of workarounds for the techniques used by vendors to close off the original attack .",['KRACK'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
An SMS Spoofing attack is often first detected by an increase in the number of SMS errors encountered during a bill-run .,['SMS Spoofing'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Another approach to preventing stack buffer overflow exploitation is to enforce a memory policy on the stack memory region that disallows execution from the stack ( W^X , "" Write XOR Execute "" ) .",['stack buffer overflow'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Thus the ability to type it ( in case of unchecked user input ) creates a vulnerability known as null byte injection and can lead to security exploits .,['null byte'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Emulation based shellcode analysis tools also exist such as the sctest application which is part of the cross platform libemu package .,['shellcode'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
BREACH is built based on the CRIME security exploit .,['BREACH'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Anti-theft protection : Laptops may have BIOS-based rootkit software that will periodically report to a central authority , allowing the laptop to be monitored , disabled or wiped of information in the event that it is stolen .",['rootkit'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The Blaster worm in 2003 spread by exploiting a stack buffer overflow in Microsoft DCOM service .,['stack buffer overflow'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A security researcher initially posted a tweet referencing code similarities between WannaCry and previous malware .,['WannaCry'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Session poisoning has been demonstrated in server environments where different , non-malicious applications ( scripts ) share the same session states but where usage differ , causing ambiguity and race conditions .",['Session poisoning'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"On 3 May 2018 , eight additional Spectre-class flaws provisionally named Spectre-NG by c't ( a German computer magazine ) were reported affecting Intel and possibly AMD and ARM processors .",['Spectre-class flaws'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"Shatter attacks became a topic of intense conversation in the security community in August 2002 after the publication of Chris Paget 's paper "" Exploiting design flaws in the Win32 API for privilege escalation "" .",['Shatter attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
The way sessions are instantiated was redesigned in Windows Vista and Windows Server 2008 to provide additional protection against shatter attacks .,['shatter attacks'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
Memory corruption occurs in a computer program when the contents of a memory location are modified due to programmatic behavior that exceeds the intention of the original programmer or program/language constructs ; this is termed as violation of memory safety .,['Memory corruption'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
"In 2008 , Jeremiah Grossman and Robert Hansen had discovered that Adobe Flash Player was able to be clickjacked , allowing an attacker to gain access of the computer without the user 's knowledge .",['clickjacked'],['Wiki_Exploit'],"defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
A clear channel assessment attack or Queensland attack is a physical layer DoS attack against Wi-Fi networks .,"['clear channel assessment attack', 'Queensland attack']","['Wiki_Exploit', 'Wiki_Exploit']","defaultdict(<class 'list'>, {'Wiki_Exploit': ['[]']})"
